,l_margine,r_margine,b_margine,depth,width,group_index
M46,2.52,1.85,1.11,5.13,3.08,8
M47,1.78,1.46,0.28,4.74,3.57,1
M48,1.56,1.81,1.37,4.45,4.73,3
M49,2.87,1.75,1.75,3.08,3.49,5
M50,1.81,1.34,1.86,5.07,4.06,7
M51,2.21,2.99,0.67,5.06,5.15,6
M52,2.45,1.79,0.93,5.17,4.26,5
M53,2.98,2.23,1.96,4.37,4.33,3
M54,1.67,1.92,0.87,5.3,3.71,6
M55,2.41,1.97,0.88,3.8,5.58,7
M56,2.95,1.9,1.85,3.17,4.42,3
M57,2.7,1.55,0.72,4.27,5.27,8
M58,2.63,2.57,1.28,4.05,5.6,6
M59,1.61,2.47,1.47,4.77,5.99,3
M60,1.89,2.38,1.36,4.04,3.06,5
M61,1.43,1.47,0.26,4.71,5.34,7
M62,2.82,2.75,1.19,5.02,5.23,7
M63,2.73,1.15,0.42,5.0,5.97,2
M64,1.12,1.41,1.07,4.43,3.2,7
M65,1.49,2.47,1.53,4.39,3.54,2
M66,2.49,1.99,1.37,4.96,5.33,2
M67,1.09,1.98,0.61,4.84,5.81,6
M68,1.1,2.88,0.98,4.45,3.71,1
M69,2.41,2.01,1.63,4.4,3.03,5
M70,1.43,2.13,0.78,4.73,5.35,5
M71,1.33,1.93,1.27,4.18,4.69,3
M72,2.86,1.88,1.01,5.76,4.94,4
M73,2.44,1.32,1.6,5.93,3.05,4
M74,2.48,1.78,1.77,3.38,4.35,5
M75,2.69,1.75,0.35,4.5,5.65,1
M76,1.96,2.36,0.32,3.67,5.34,8
M77,1.92,2.73,1.6,5.27,4.73,5
M78,2.77,1.49,0.95,4.63,3.03,3
M79,1.68,2.07,0.96,4.3,5.69,2
M80,2.28,2.87,0.52,5.83,5.5,8
M81,1.66,2.07,1.06,4.08,3.55,4
M82,1.23,2.03,0.57,5.78,3.44,7
M83,1.67,1.49,1.69,3.35,4.3,4
M84,2.3,1.72,1.83,5.92,3.31,3
M85,2.0,1.49,1.8,5.58,5.27,4
M86,2.97,1.22,1.32,3.21,5.55,7
M87,2.94,2.33,1.11,4.68,4.46,1
M88,2.83,2.94,1.56,3.94,4.08,3
M89,2.65,1.99,0.56,4.09,3.28,4
M90,1.72,2.93,0.37,3.8,3.92,7
M91,1.92,1.51,1.23,4.26,4.61,7
M92,1.8,2.81,0.77,5.71,3.85,6
M93,1.99,1.82,0.15,3.19,3.98,1
M94,2.4,2.43,0.82,5.75,3.1,7
M95,2.43,1.26,1.08,3.8,5.36,8
M96,2.04,1.77,1.55,4.54,4.25,1
M97,1.05,1.55,0.53,5.32,3.49,7
M98,1.78,2.93,0.99,3.0,5.33,2
M99,2.18,2.18,0.37,5.15,3.86,5
M100,2.53,2.33,1.76,5.64,3.66,2
M101,1.62,2.59,0.01,3.57,3.77,8
M102,2.17,2.31,1.03,5.11,5.81,2
M103,2.65,2.1,1.34,5.14,4.1,4
M104,2.38,2.63,0.73,4.27,3.37,8
M105,2.85,2.9,0.97,4.27,3.17,7
M106,1.4,2.0,0.14,5.08,4.64,3
M107,2.53,2.78,1.62,4.96,5.6,2
M108,2.73,1.58,1.74,3.94,5.2,6
M109,2.88,2.03,1.25,4.15,5.7,1
M110,2.84,1.99,0.86,5.71,3.16,7
M111,1.81,2.35,1.46,3.42,3.06,1
M112,2.92,2.01,1.64,5.17,4.7,3
M113,2.68,1.93,0.57,3.47,3.71,2
M114,1.65,2.84,0.86,5.44,4.24,7
M115,1.81,2.77,1.0,4.47,3.41,1
M116,1.18,2.83,0.66,4.4,5.86,5
M117,1.73,2.74,0.23,4.6,3.77,3
M118,2.31,1.84,1.52,4.72,3.79,6
M119,1.0,1.36,1.87,4.07,3.71,5
M120,1.06,1.59,1.63,4.39,5.9,6
M121,1.68,1.06,0.35,3.33,3.9,8
M122,2.27,1.04,0.79,4.36,3.52,6
M123,1.21,2.37,1.89,3.25,4.27,2
M124,1.0,1.53,0.63,5.0,4.77,7
M125,2.71,2.89,1.88,5.55,5.35,7
M126,1.95,1.34,0.77,4.39,3.82,3
M127,2.89,2.83,0.25,4.89,4.86,8
M128,1.13,1.42,1.45,4.06,4.24,7
M129,1.55,1.62,0.77,5.69,4.79,7
M130,1.0,1.39,0.23,3.46,5.18,3
M131,2.92,1.6,0.8,3.48,5.75,6
M132,1.81,1.29,0.68,3.04,4.69,5
M133,1.19,2.52,0.49,3.1,3.51,3
M134,1.87,2.46,1.64,5.72,5.44,8
M135,2.99,1.0,1.73,5.05,5.1,4
M136,2.93,1.41,0.96,3.6,5.19,7
M137,1.89,2.83,1.18,3.49,4.87,6
M138,1.67,1.06,0.06,3.76,5.07,3
M139,2.71,2.64,0.56,3.99,3.8,6
M140,1.43,2.56,0.11,5.99,4.3,5
M141,2.66,2.02,0.67,4.77,5.23,2
M142,2.44,1.47,0.27,3.07,3.04,3
M143,2.54,2.0,1.6,3.38,4.99,7
M144,1.25,1.98,0.81,3.24,5.72,1
M145,1.97,2.46,0.8,3.14,5.16,3
M146,1.8,2.89,0.5,4.01,5.98,2
M147,1.82,2.6,1.57,4.08,5.51,8
M148,1.97,2.06,1.37,4.58,3.69,7
M149,1.62,1.7,1.08,5.31,5.5,4
M150,2.95,2.39,0.25,5.33,4.75,7
M151,1.92,2.84,1.9,5.77,4.44,8
M152,1.37,1.07,1.32,5.07,4.93,1
M153,1.73,2.08,0.16,5.94,4.63,2
M154,1.11,1.57,1.58,3.71,5.73,4
M155,2.74,1.69,0.23,3.57,3.21,7
M156,1.39,2.1,1.53,5.97,3.27,8
M157,1.51,1.48,0.25,4.94,5.12,1
M158,2.48,2.79,0.14,3.9,3.3,1
M159,1.64,1.37,0.58,4.04,5.89,6
M160,1.4,2.4,1.28,4.07,4.48,6
M161,1.15,2.05,1.9,4.15,5.45,2
M162,1.57,2.0,0.57,3.31,3.27,4
M163,2.09,1.77,1.76,3.63,4.82,3
M164,1.49,2.47,1.3,4.94,3.82,3
M165,2.24,1.81,1.22,5.43,4.58,4
M166,2.06,1.24,1.4,3.23,3.41,7
M167,1.91,2.23,0.47,5.87,3.64,2
M168,2.65,1.87,1.97,3.89,3.33,6
M169,2.95,2.94,0.08,5.29,5.63,6
M170,2.22,2.5,1.13,3.09,3.19,2
M171,1.63,2.22,1.9,3.89,4.38,6
M172,1.37,2.22,0.72,3.14,3.0,7
M173,2.72,2.56,0.22,3.59,5.62,7
M174,2.83,1.2,1.61,4.24,4.56,2
M175,1.74,1.47,0.78,3.15,5.99,5
M176,2.91,1.38,1.12,4.55,3.19,2
M177,1.49,2.81,0.95,4.94,4.51,2
M178,1.66,2.07,1.36,5.32,5.1,8
M179,2.28,2.26,1.12,3.29,5.79,2
M180,1.31,2.17,0.24,5.58,4.98,5
M181,1.13,1.2,0.25,4.67,3.71,6
M182,1.57,2.4,0.01,5.21,4.1,5
M183,2.69,1.24,0.46,3.52,4.5,2
M184,1.72,2.79,0.06,5.81,5.37,5
M185,1.24,2.94,0.08,5.79,4.64,2
M186,1.23,2.72,1.56,3.02,3.43,7
M187,2.25,2.67,1.82,3.19,4.89,4
M188,2.08,1.11,0.53,4.84,5.52,2
M189,2.02,1.05,0.59,3.05,3.39,2
M190,2.4,2.77,0.36,3.66,3.97,8
M191,2.12,1.28,0.18,3.16,3.14,1
M192,2.51,1.19,0.85,3.53,3.33,3
M193,1.26,1.32,1.05,3.22,5.39,7
M194,1.95,1.73,0.93,5.0,5.26,7
M195,2.23,1.8,1.79,5.24,3.62,2
M196,2.75,2.92,1.8,5.83,5.21,7
M197,1.19,2.64,1.31,3.98,3.48,4
M198,1.54,1.84,0.13,3.59,4.57,5
M199,1.04,2.26,2.0,4.82,3.53,5
M200,2.75,2.44,0.5,4.72,5.64,8
M201,1.25,2.73,0.46,5.19,5.06,7
M202,2.01,2.99,0.03,5.53,4.4,4
M203,2.6,1.06,0.89,5.52,3.59,2
M204,1.91,1.16,1.64,5.14,4.14,1
M205,1.49,1.18,1.66,3.52,5.04,4
M206,2.45,2.73,0.99,5.79,5.33,3
M207,1.53,2.1,1.73,4.28,4.95,2
M208,1.0,1.88,1.29,5.56,3.55,4
M209,1.79,2.37,0.53,3.5,3.78,8
M210,2.13,2.23,0.06,5.27,3.53,6
M211,1.81,2.74,1.91,4.47,4.65,8
M212,1.32,2.84,0.54,4.91,3.71,8
M213,2.36,1.32,1.47,3.53,4.39,3
M214,2.05,1.49,1.63,3.41,4.46,3
M215,2.72,2.08,1.05,3.79,5.63,5
M216,1.99,1.45,0.12,6.0,5.08,5
M217,1.95,2.29,2.0,3.49,5.79,4
M218,1.48,1.43,1.97,3.86,4.64,3
M219,2.76,1.21,0.56,4.03,3.94,7
M220,1.07,1.46,1.93,5.37,4.88,2
M221,2.18,1.83,0.46,5.96,5.73,6
M222,1.15,1.15,1.93,5.77,5.3,8
M223,2.3,1.91,0.27,3.07,3.69,5
M224,2.47,1.93,0.0,5.52,4.69,7
M225,1.21,1.29,0.54,5.12,4.49,2
M226,1.39,1.08,0.34,4.74,5.5,2
M227,2.24,2.56,1.77,5.57,5.94,4
M228,1.06,1.24,1.7,4.8,4.58,2
M229,2.51,1.53,0.48,5.99,3.89,7
M230,2.12,1.1,1.38,4.3,3.92,6
M231,2.76,2.62,0.75,5.29,5.42,2
M232,1.22,1.45,0.51,5.4,4.38,5
M233,2.68,1.58,1.7,3.33,3.0,6
M234,1.69,1.53,1.26,3.6,3.46,4
M235,2.49,1.51,1.1,4.03,5.99,5
M236,2.11,2.85,0.46,5.29,3.53,7
M237,1.1,1.37,1.74,3.68,4.65,3
M238,2.7,1.05,0.91,5.65,4.33,8
M239,2.97,2.32,0.09,3.57,3.12,3
M240,1.88,1.39,0.41,4.03,3.56,5
M241,2.65,2.98,1.09,3.04,5.45,2
M242,2.74,2.34,0.74,4.17,5.23,5
M243,1.8,2.87,0.38,3.98,5.76,2
M244,1.3,1.91,1.25,4.78,3.26,3
M245,2.77,1.59,1.92,5.43,3.18,1
M246,1.04,2.56,0.99,4.17,5.89,7
M247,2.49,1.96,1.03,3.53,5.4,8
M248,1.7,2.37,1.28,4.9,4.15,7
M249,1.52,1.78,1.19,5.19,4.63,7
M250,2.24,2.59,1.2,5.53,5.01,5
M251,1.18,2.17,0.54,4.72,5.27,8
M252,2.96,1.43,1.83,4.03,5.54,7
M253,2.95,1.02,1.3,4.77,3.12,8
M254,2.95,2.93,0.99,3.33,3.37,7
M255,1.43,1.83,0.9,5.29,3.96,6
M256,1.34,1.59,1.26,5.56,5.54,6
M257,2.94,1.29,1.57,4.48,3.59,7
M258,1.63,1.27,0.67,4.75,4.64,8
M259,2.14,2.9,0.62,4.29,5.79,7
M260,1.95,2.83,0.59,5.78,3.84,4
M261,1.33,1.54,0.82,4.19,5.72,3
M262,2.27,2.76,1.02,3.63,4.2,8
M263,2.84,2.05,0.95,3.49,4.82,7
M264,2.55,2.43,1.82,5.19,5.83,6
M265,2.35,2.94,1.45,3.28,3.52,3
M266,1.29,2.68,1.78,4.2,5.04,2
M267,2.45,2.96,0.01,5.72,4.32,1
M268,2.5,2.71,1.02,4.81,4.56,8
M269,2.04,2.65,0.0,4.17,3.56,8
M270,1.52,1.9,0.93,3.41,4.36,3
M271,2.65,1.85,0.25,3.9,5.13,3
M272,2.75,1.24,0.63,5.3,4.82,8
M273,1.83,1.03,1.86,4.12,4.46,2
M274,1.32,1.67,1.63,4.01,3.67,7
M275,1.05,1.54,0.84,3.0,5.02,1
M276,1.36,2.54,1.7,3.38,3.96,7
M277,1.84,1.15,1.95,3.29,4.5,1
M278,1.74,2.96,1.7,5.16,5.43,2
M279,2.27,2.82,1.37,3.94,4.29,5
M280,1.69,2.53,1.56,4.9,4.38,1
M281,2.23,2.2,0.12,3.29,5.47,4
M282,1.09,2.16,1.49,5.32,5.38,8
M283,1.06,1.47,1.61,5.37,4.04,1
M284,2.6,1.97,0.9,5.36,3.92,1
M285,1.01,1.04,0.15,4.55,3.07,5
M286,2.44,1.3,0.18,4.72,5.37,4
M287,2.7,2.98,0.63,4.76,5.78,5
M288,2.93,1.17,0.53,3.84,4.49,7
M289,1.69,2.37,1.86,5.22,5.54,3
M290,2.52,1.45,1.24,4.6,3.13,7
M291,1.72,1.81,0.98,5.28,3.47,6
M292,2.59,2.92,0.76,5.77,4.6,3
M293,2.18,2.48,0.39,5.7,3.11,5
M294,2.82,2.6,0.08,4.0,3.4,7
M295,1.18,2.77,0.23,5.33,5.18,2
M296,1.31,1.16,0.78,3.66,5.71,7
M297,1.39,2.49,1.35,4.77,3.91,6
M298,1.92,1.64,1.72,4.83,5.25,6
M299,2.56,1.93,0.77,5.74,4.69,8
M300,2.69,1.45,0.02,4.13,5.65,2
M301,1.85,2.83,0.43,4.9,5.92,1
M302,1.18,2.8,0.35,3.58,5.61,8
M303,1.49,1.91,0.88,4.04,5.01,4
M304,1.38,1.4,1.84,4.54,4.32,1
M305,1.72,1.77,1.5,5.41,4.31,1
M306,1.69,1.01,1.84,5.74,5.42,5
M307,2.52,1.9,1.17,3.29,3.64,7
M308,2.19,2.42,0.32,4.15,5.55,8
M309,1.83,2.98,0.79,5.31,4.52,1
M310,1.55,1.7,1.82,3.82,5.63,4
M311,2.78,2.14,0.29,3.31,3.71,6
M312,1.76,1.85,1.86,5.82,5.84,2
M313,1.69,1.68,0.04,5.31,3.39,5
M314,2.59,2.45,1.54,4.79,5.27,8
M315,1.21,2.36,1.11,3.38,4.74,1
M316,2.8,1.81,1.08,4.22,3.35,8
M317,1.46,1.67,1.34,4.97,3.61,2
M318,2.39,2.96,1.18,3.88,5.12,3
M319,1.91,2.84,0.22,3.73,5.41,4
M320,2.43,2.89,1.85,5.6,4.29,7
M321,2.69,1.46,1.37,4.23,4.18,3
M322,1.76,1.85,1.57,4.43,3.78,6
M323,1.24,2.64,0.87,3.37,3.63,7
M324,1.54,1.9,1.94,4.2,4.63,3
M325,1.67,1.02,0.98,3.71,3.54,6
M326,2.64,1.66,1.32,3.17,3.28,5
M327,2.5,2.55,1.35,4.15,3.88,4
M328,1.98,3.0,1.03,3.93,3.81,8
M329,1.57,2.35,0.69,5.48,4.79,5
M330,1.44,1.58,1.06,5.94,3.18,2
M331,2.56,2.4,1.83,4.91,3.46,2
M332,1.11,2.18,1.77,3.1,5.84,1
M333,1.81,2.18,1.11,4.32,3.9,2
M334,1.89,2.36,0.94,3.85,5.19,6
M335,1.41,1.32,0.72,3.36,5.28,1
M336,1.86,1.63,0.3,5.04,5.95,5
M337,2.07,1.38,1.72,5.49,3.01,5
M338,1.36,1.86,1.98,3.5,5.63,8
M339,1.93,1.53,0.47,5.97,3.17,7
M340,2.66,2.93,1.29,4.06,3.74,1
M341,2.37,2.04,0.19,3.66,4.22,6
M342,1.73,2.65,0.49,3.61,5.1,6
M343,1.88,1.08,1.0,4.76,4.04,1
M344,2.44,2.37,0.69,5.12,3.39,5
M345,1.51,1.9,0.7,5.55,3.28,6
M346,1.84,1.22,1.28,4.07,5.45,4
M347,2.45,1.54,1.55,4.22,4.19,2
M348,2.03,2.7,0.2,4.07,4.47,8
M349,2.46,2.21,0.14,5.21,3.33,5
M350,1.37,1.2,1.47,4.6,3.62,4
M351,2.21,2.68,0.31,4.45,3.61,3
M352,2.16,1.35,1.94,3.27,5.39,1
M353,1.83,1.6,0.01,5.23,3.47,6
M354,2.58,3.0,0.05,5.27,5.25,1
M355,2.11,1.24,1.43,4.17,4.23,1
M356,2.46,2.48,1.91,3.18,3.5,4
M357,1.16,1.0,1.74,3.34,4.77,5
M358,2.35,1.41,1.95,3.62,5.92,8
M359,3.0,2.99,1.87,3.53,5.3,8
M360,2.54,1.95,0.13,3.96,3.47,7
M361,2.0,1.29,0.12,5.86,5.08,4
M362,2.16,2.7,0.35,5.14,3.42,8
M363,2.51,1.88,0.68,5.53,3.41,2
M364,2.69,1.57,0.82,4.38,4.28,1
M365,1.66,1.64,1.94,4.22,5.77,4
M366,1.5,1.4,1.57,4.41,5.64,8
M367,1.94,2.83,0.23,3.69,5.91,4
M368,2.16,2.68,1.44,3.52,5.07,1
M369,2.61,1.25,1.01,4.64,3.17,5
M370,1.19,1.56,0.88,3.02,5.59,2
M371,2.55,2.62,0.84,4.28,3.51,8
M372,1.57,2.33,1.23,5.91,4.81,4
M373,1.21,1.53,0.15,3.33,4.41,4
M374,1.17,1.67,0.69,5.29,4.02,2
M375,1.28,2.73,1.34,5.99,5.64,3
M376,2.58,1.39,0.84,4.31,4.25,1
M377,1.98,2.23,0.04,5.01,5.86,2
M378,2.26,2.95,0.51,5.12,4.45,4
M379,2.24,1.39,0.3,5.17,4.59,3
M380,2.07,2.58,0.74,5.27,4.83,8
M381,1.95,1.74,0.49,5.63,5.42,8
M382,1.49,1.17,0.99,5.78,5.61,6
M383,2.75,1.69,1.1,4.98,3.61,6
M384,1.22,2.77,1.02,3.9,5.41,5
M385,2.4,2.04,1.3,5.51,3.44,6
M386,1.41,2.88,0.64,3.29,4.58,2
M387,1.57,2.2,0.58,4.8,3.62,1
M388,1.7,2.8,1.3,4.76,5.03,2
M389,1.45,1.49,0.9,5.38,4.9,3
M390,1.98,2.94,0.33,3.7,4.21,8
M391,1.03,1.68,1.83,4.04,3.78,2
M392,2.17,1.92,0.26,5.81,5.14,6
M393,1.82,2.87,1.32,4.85,3.04,8
M394,2.5,1.49,1.33,3.57,3.59,2
M395,1.47,1.67,1.52,4.09,5.68,2
M396,2.5,1.11,0.71,4.6,5.81,5
M397,2.22,2.96,0.29,5.52,3.87,2
M398,1.25,2.17,0.92,5.21,5.49,3
M399,2.99,1.12,1.3,5.05,5.41,2
M400,1.92,1.48,0.43,5.37,3.0,3
