,l_margine,r_margine,b_margine,depth,width,group_index
M376,2.92,1.14,1.46,5.57,5.29,4
M377,1.85,1.12,0.03,3.11,5.2,4
M378,2.19,1.99,0.81,4.81,3.56,8
M379,2.16,1.16,0.06,3.36,3.73,6
M380,2.69,1.69,1.67,4.97,3.16,1
M381,1.48,1.04,1.06,3.61,4.17,2
M382,1.92,2.99,0.21,3.79,3.41,8
M383,1.69,2.03,1.05,4.92,4.7,1
M384,1.72,2.12,1.99,4.99,4.95,6
M385,1.1,1.05,2.0,4.86,3.61,3
M386,1.1,1.94,0.94,5.51,5.81,4
M387,2.87,1.77,0.03,5.51,3.97,2
M388,2.66,1.74,1.08,3.46,3.96,3
M389,2.22,2.28,1.51,4.16,3.66,5
M390,2.64,1.75,0.64,3.85,4.46,1
M391,2.6,2.19,0.54,4.22,4.27,4
M392,1.12,1.36,0.98,4.89,5.93,2
M393,2.34,1.25,1.61,5.07,4.8,5
M394,2.46,2.92,1.3,4.86,3.04,6
M395,1.24,2.87,0.32,4.22,5.53,7
M396,2.96,2.25,1.52,5.87,4.68,5
M397,2.38,1.03,1.93,5.38,5.49,8
M398,2.26,1.57,1.75,5.78,4.18,1
M399,1.09,2.26,1.69,4.24,3.94,6
M400,1.79,1.46,0.4,5.06,4.03,5
